t,d,atr_m,rr,exit,trail_act,trail_dist,max_hold
2025.10.03 13:00,1,0.738479,2.5000,1,1.0000,0.5000,36
2025.10.07 07:00,1,0.738479,2.5000,1,1.0000,0.5000,36
2025.10.07 14:00,1,0.738479,2.5000,1,1.0000,0.5000,36
2025.10.10 13:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2025.10.14 11:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2025.10.16 13:00,1,0.738479,2.5000,1,1.0000,0.5000,36
2025.10.16 19:00,1,0.738479,2.5000,1,1.0000,0.5000,36
2025.10.20 20:00,1,0.738479,2.5000,1,1.0000,0.5000,36
2025.10.21 13:00,1,0.738479,2.5000,1,1.0000,0.5000,36
2025.10.22 08:00,1,0.700000,2.0000,1,1.0000,0.5000,36
2025.10.22 13:00,1,0.700000,2.0000,1,1.0000,0.5000,36
2025.10.27 09:00,1,0.700000,2.0000,1,1.0000,0.5000,36
2025.10.31 10:00,1,0.712541,3.0000,1,1.0000,0.5000,36
2025.10.31 15:00,1,0.712541,3.0000,1,1.0000,0.5000,36
2025.11.04 12:00,1,0.712541,3.0000,1,1.0000,0.5000,36
2025.11.05 10:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2025.11.05 15:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2025.11.11 10:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2025.11.12 08:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.11.12 15:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.11.17 14:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.11.17 19:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.11.20 12:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.11.21 11:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.11.25 09:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.11.27 14:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.12.02 10:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.12.02 14:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.12.04 07:00,1,0.724247,2.0000,1,1.0000,0.5000,36
2025.12.05 13:00,1,0.724247,2.0000,1,1.0000,0.5000,36
2025.12.08 16:00,1,0.724247,2.0000,1,1.0000,0.5000,36
2025.12.09 14:00,1,0.724247,2.0000,1,1.0000,0.5000,36
2025.12.12 12:00,1,0.738479,2.0000,1,1.0000,0.5000,36
2025.12.12 19:00,1,0.738479,2.0000,1,1.0000,0.5000,36
2025.12.15 11:00,1,0.738479,2.0000,1,1.0000,0.5000,36
2025.12.16 07:00,1,0.738479,2.0000,1,1.0000,0.5000,36
2025.12.18 12:00,1,0.727673,2.0000,1,1.0000,0.5000,36
2025.12.19 07:00,1,0.727673,2.0000,1,1.0000,0.5000,36
2025.12.24 18:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.12.25 07:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.12.30 14:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.12.31 07:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.01.06 10:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.01.08 12:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.01.09 11:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.01.13 11:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.01.13 15:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.01.15 13:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.01.16 15:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.01.23 09:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.01.23 13:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.01.27 08:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.01.29 19:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.02.03 14:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.02.05 09:00,1,0.738479,2.0000,1,1.0000,0.5000,36
2026.02.05 20:00,1,0.738479,2.0000,1,1.0000,0.5000,36
2026.02.10 13:00,1,0.738479,2.0000,1,1.0000,0.5000,36
2026.02.13 15:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.02.17 07:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.02.20 07:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.02.20 12:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.02.27 13:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.03.06 11:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.03.10 16:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.03.12 08:00,1,0.700000,2.0000,1,1.0000,0.5000,36
2026.03.12 14:00,1,0.700000,2.0000,1,1.0000,0.5000,36
2026.03.16 09:00,1,0.700000,2.0000,1,1.0000,0.5000,36
2026.03.18 19:00,1,0.700000,2.5000,1,1.0000,0.5000,36
2026.03.19 08:00,1,0.700000,2.5000,1,1.0000,0.5000,36
2026.03.23 09:00,1,0.700000,2.5000,1,1.0000,0.5000,36
2026.03.27 10:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.03.30 11:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.03.31 08:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2026.04.03 16:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2026.04.10 09:00,1,0.738479,2.0000,1,1.0000,0.5000,36
