datetime,open,high,low,close,volume
2024-06-11 13:00:00+00:00,1.07323,1.07366,1.07194,1.07239,18850.48
2024-06-11 14:00:00+00:00,1.0724,1.07293,1.07197,1.07224,9683.06
2024-06-11 15:00:00+00:00,1.07223,1.07335,1.0722,1.07323,11040.08
2024-06-11 16:00:00+00:00,1.07324,1.07388,1.07324,1.07372,3784.44
2024-06-11 17:00:00+00:00,1.07372,1.07431,1.07366,1.07422,6343.97
2024-06-11 18:00:00+00:00,1.07421,1.07452,1.07406,1.07436,2838.59
2024-06-11 19:00:00+00:00,1.07435,1.07493,1.07401,1.07401,4685.62
2024-06-11 20:00:00+00:00,1.07401,1.07418,1.0739,1.07403,1233.37
2024-06-11 21:00:00+00:00,1.07404,1.07422,1.07392,1.07416,2450.47
2024-06-11 22:00:00+00:00,1.07415,1.07427,1.07407,1.07407,933.56
2024-06-11 23:00:00+00:00,1.07408,1.07414,1.07391,1.07399,2239.02
2024-06-12 00:00:00+00:00,1.07398,1.07398,1.07348,1.07359,6817.82
2024-06-12 01:00:00+00:00,1.07359,1.07417,1.07346,1.07398,7201.4
2024-06-12 02:00:00+00:00,1.07399,1.07426,1.07392,1.07418,5873.88
2024-06-12 03:00:00+00:00,1.07418,1.07432,1.074,1.07402,5308.4
2024-06-12 04:00:00+00:00,1.07401,1.07405,1.07364,1.07366,3447.26
2024-06-12 05:00:00+00:00,1.07364,1.0746,1.0736,1.07458,5291.48
2024-06-12 06:00:00+00:00,1.0746,1.0747,1.07389,1.07414,6121.48
2024-06-12 07:00:00+00:00,1.07415,1.07454,1.07355,1.07444,9217.4
2024-06-12 08:00:00+00:00,1.07445,1.07539,1.07444,1.07466,7533.23
2024-06-12 09:00:00+00:00,1.07466,1.07538,1.07441,1.07526,7690.06
2024-06-12 10:00:00+00:00,1.07527,1.07601,1.07489,1.07586,4924.76
2024-06-12 11:00:00+00:00,1.07587,1.07654,1.07572,1.07642,7306.64
2024-06-12 12:00:00+00:00,1.07643,1.083,1.07621,1.08265,22259.56
2024-06-12 13:00:00+00:00,1.08264,1.08373,1.08189,1.08366,31621.76
2024-06-12 14:00:00+00:00,1.08366,1.08495,1.08176,1.0848,22634.12
2024-06-12 15:00:00+00:00,1.0848,1.08521,1.08418,1.08423,11582.77
